ea	fascode	idw	a2_x	a2	a2x	a2a	a2b	a2bb	a2c	a2dx	a2d	a2d1	a2ex	a3a1	a3b	a3a	a4yr	a4mth	a5	a5a	a9	a10	a17	a18	a19	a20	a21	a6_a	a6_b	a6a	a7	a7a	a8	a11	a12ax	a12bx	a12dx	a12ex	a12fx	a12d1	a12f1	a26	a21a_x	a21b_x	a21a	a21b	a2e	a5b	commid14	b14x	b14aday	b14amth	b14bday	b14bmth	b16ba	b16aa	b16ab	b16ab_a_mth	b16ab_a_yr	b16ab_b_mth	b16ab_b_yr	b16f	bd00a	bd01a_a	bd01a_b	bd01a_c	bd01a_d	bd01a_e	bd01a_f	bd01a_v	bd01aa	bd01ba	bd01bb	bd01bc	bd01bd	bd02a	bd03b	bd04b	bd04a	bd08	bd09	bd10	module	idivwr	resvis	langmain	langoth	fp2	result	reason	sup_obs	sup_edit	sup_verif	cp1	cp2	cp3	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	lk05	lk13	lk15	lk16	lk17	lk19	lk20	lk21	lk22	lk23	lk24	lk01_14_14	lk02_14_14	lk03_14_14	pb1	pb2	pb3	pb3a	pb3b	pb3c	pb3d	pb3e	pb3f	pb3g	pb3h	pb3i	pb3j	pb4	pb5	facwght14s	fcode14
"141"	"1412507"	"141"	1	43	3	3	5	2	3					95	2014	1993	15	98	1	36	1	3	1	1	2	1		3	3		3			1	1	1	1	1	1	180	36	4	1	1	3000000	6000000		6000000	"3234"	1	24	5	30	5	3	3						5	3																				"PRA"	"H52"	1	0	96	1	1		3	3	3				3	3	3		1	1	1	1		1	3	3	3		1	1	1	"A"	1	3	"H52"		"H41"	"G01"	3	3	3	3	3	36	3	162	3															0.22727273404598236	"32342507"
"141"	"1412508"	"141"	1	37	3	3	4	1	3					95	2013	1997	15	0	1	5	1	1	1	1	2	1		3	3		3			1	1	1	1	1	1	160	36	1	1	8	2800000			5000000	"3234"	1	15	3	21	3	3	3						2	3																				"PRA"	"H51"	1	0	96	1	1		1	1	3				3	3	3		1	1	1	1		3								"B"	1	3	"H51"		"H41"	"G01"	3	3	3	3	3	36	3	162	3															0.22727273404598236	"32342508"
"142"	"1422070"	"142"																																															"3235"																																		"PRA"	"H52"	3	0	96	3	3	3	3	3	3																																																				"32352070"
"142"	"1422250"	"142"	1	40	3	3	4	2	3					95	2010	2000	15	2	1	119	1	3	1	1	2	1		3	3		3			1	1	1	1	1	1	210	36	4	1	1	3000000	8000000		5000000	"3235"	1	15	3	21	3	3	3						4	3																				"PRA"	"H53"	1	0	96	1	1		3	3	3				3	3	3		1	1	1	1		1	3	3	3		1	1	1	"A"	1	3	"H53"		"H41"	"G01"	3	3	3	3	1	36	3	200	1	3	"GH"							2	1			1	2	0.1666666716337204	"32352250"
"142"	"1422251"	"142"																																															"3235"																																		"PRA"	"H53"	3	0	96	3	3	3	3	3	3																																																				"32352251"
"142"	"1422278"	"142"	1	48	1	1	5	1	6					2	1995	2002	13	0	3	48	1	3	1	1	2	1		3	3		3			7	1	1	3	3	3	210	36	2	1	1	25000000	25000000		25000000	"3235"	1	24	5	30	5	1	3						2	3																				"PRA"	"H51"	1	0	96	1	1		1	1	3				3	3	3		6	1	1	1		3								"W"	1	1	"H51"		"H41"	"G01"	3	3	3	3	3	36	3	200	3															0.1666666716337204	"32352278"
"142"	"1422501"	"142"																																															"3235"																																		"PRA"	"S54"	3	0	96	3	3	3	3	3	3																																																				"32352501"
"142"	"1422502"	"142"	1	26	3	3	4	2	3					95	2009	2010	5	1	1	168	1	1	1	1	2	1		3	3		3			7	1	1	1	1	1	200	36	1	8	8				2500000	"3235"	1	15	3	21	3	1	3						6	3																				"PRA"	"H51"	1	0	96	1	1		1	1	3				3	3	3		1	1	1	1		3								"AB"	1	3	"H51"		"H41"	"G01"	3	3	3	3	3	36	3	200	3															0.1666666716337204	"32352502"
"142"	"1422511"	"142"	1	36	3	3	4	8	3					95	2010	2014	1	0	3	168	1	1	1	1	2	3	2	3	3		3			7	1	1	1	1	1	210	36	1	1	1	500000	500000		500000	"3235"	1	24	5	30	5	3	3						6	3																				"PRA"	"H53"	1	0	96	1	1		3	3	3				3	3	1	3	1	1	1	1		3								"A"	1	3	"H53"		"H41"	"G01"	3	3	3	3	3	36	3	200	3															0.1666666716337204	"32352511"
"142"	"1422512"	"142"	1	35	3	3	4	3	3					95	2010	2004	10	11	1	98	1	1	1	1	2	1		3	3		3			7	1	1	1	1	1	200	36	2	1	1	10000000	10000000		10000000	"3235"	1	24	5	30	5	3	3						2	3																				"PRA"	"H52"	1	0	96	1	1		3	3	3				3	3	3		1	1	1	1		1	3	3	3		1	1	1	"B"	1	3	"H52"		"H41"	"G01"	3	3	3	3	3	36	3	200	1	2	"G"							2				1	1	0.1666666716337204	"32352512"
