ea	fascode	idw	a2_x	a2	a2x	a2a	a2b	a2bb	a2c	a2dx	a2d	a2d1	a2ex	a3a1	a3b	a3a	a4yr	a4mth	a5	a5a	a9	a10	a17	a18	a19	a20	a21	a6_a	a6_b	a6a	a7	a7a	a8	a11	a12ax	a12bx	a12dx	a12ex	a12fx	a12d1	a12f1	a26	a21a_x	a21b_x	a21a	a21b	a2e	a5b	commid14	b14x	b14aday	b14amth	b14bday	b14bmth	b16ba	b16aa	b16ab	b16ab_a_mth	b16ab_a_yr	b16ab_b_mth	b16ab_b_yr	b16f	bd00a	bd01a_a	bd01a_b	bd01a_c	bd01a_d	bd01a_e	bd01a_f	bd01a_v	bd01aa	bd01ba	bd01bb	bd01bc	bd01bd	bd02a	bd03b	bd04b	bd04a	bd08	bd09	bd10	module	idivwr	resvis	langmain	langoth	fp2	result	reason	sup_obs	sup_edit	sup_verif	cp1	cp2	cp3	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	lk05	lk13	lk15	lk16	lk17	lk19	lk20	lk21	lk22	lk23	lk24	lk01_14_14	lk02_14_14	lk03_14_14	pb1	pb2	pb3	pb3a	pb3b	pb3c	pb3d	pb3e	pb3f	pb3g	pb3h	pb3i	pb3j	pb4	pb5	facwght14s	fcode14
"001"	"0012501"	"001"	1	25	1	3	4	2	3					95	2011	2012	2	6	95	998	1	1	1	95	4	3	2	3	3		3			1	1	1	1	1	1	62	12	5	1	1	66600	500000		500000	"1202"	1	5	4	11	4	1	3						6	3																				"PRA"	"A53"	1	0	96	1	1		3	3	3				3	3	3		6	1	1	1		3								"W"	2	4	"A53"		"A41"	"B01"	3	3	3	3	3	12	1	62	3															0.8333333134651184	"12022501"
"001"	"0012502"	"001"																																															"1202"																																		"PRA"	"A52"	3	0	96	3	3	1	1	3	3																																																				"12022502"
"001"	"0012503"	"001"	1	36	3	3	5	8	3					95	2001	2009	1	1	1	72	3	1	1	1	2	1		3	3		3			7	1	1	3	3	3	40	12	3	1	1	5000000	5000000		100000000	"1202"	1	5	4	11	4	3	3						6	3																				"PRA"	"A52"	1	0	96	1	1		1	3	3				3	3	1	3	1	1	1	1		3								"A"	1	2	"A52"		"A41"	"B01"	3	3	3	3	3	12	1	62	1	2	"A"	2										1	1	0.8333333134651184	"12022503"
"001"	"0012504"	"001"																																															"1202"																																		"PRA"	"A52"	3	0	96	3	3	1	1	3	3																																																				"12022504"
"001"	"0012505"	"001"	1	24	3	3	4	2	3					95	2012	2014	1	1	3	2	1	1	3		2	3	2	3	3		3			1	1	1	1	1	1	62	12	5	1	1	0	300000		300000	"1202"	1	5	4	11	4	1	3						6	3																				"PRA"	"A51"	1	0	96	1	1		3	3	3				1	1	3		6	1	1	1		3								"W"	2	4	"A51"		"A41"	"B01"	3	3	3	3	3	12	1	62	3															0.8333333134651184	"12022505"
"001"	"0012506"	"001"																																															"1202"																																		"PRA"	"A52"	3	0	96	3	3	1	1	3	3																																																				"12022506"
"001"	"0012507"	"001"																																															"1202"																																		"PRA"	"A53"	3	0	96	3	3	1	3	3	3																																																				"12022507"
"001"	"0012508"	"001"	1	24	3	3	4	2	3					95	2012	1994	2	6	2	168	1	1	1	1	10			3	3		3			1	1	1	3	3	3	60	12	5	1	1	0	4500000		4500000	"1202"	1	5	4	11	4	3	3						6	3																				"PRA"	"A52"	1	0	96	3	1		3	3	3				3	3	3		6	1	1	1		3								"W"	2	3	"A52"		"A41"	"B01"	3	3	3	3	3	12	1	62	1	2	"G"							2				1	1	0.8333333134651184	"12022508"
"001"	"0012509"	"001"	1	28	3	3	4	3	3					95	2012	2012	1	6	95	28	1	1	1	95	4	3	1	3	3		3			1	1	1	1	1	1	62	12	5	1	1	25000	1600000		1600000	"1202"	1	12	4	18	4	3	3						6	3																				"PRA"	"A53"	1	0	96	3	1		3	3	3				3	3	1	3	6	1	3	1		3								"W"	2	4	"A53"		"A41"	"B01"	3	3	3	3	3	12	1	62	3															0.8333333134651184	"12022509"
"002"	"0022501"	"002"	1	28	3	3	4	2	3					95	2007	2010	5	0	1	1	1	1	1	1	4	3	3	3	3		3			1	1	1	1	1	1	34	12	4	1	1	2300000	2350000		50000	"1201"	1	12	4	18	4	1	3						6	3																				"PRA"	"A51"	1	0	96	1	1		3	3	3				3	3	3		6	1	1	1		3								"W"	2	4	"A51"		"A41"	"B01"	3	3	3	3	3	12	14	34	3															0.5555555820465088	"12012501"
"002"	"0022503"	"002"	1	21	3	3	4	3	3					7	2014	2014	0	6	1	168	1	1	1	1	4	1		3	3		3			7	1	1	3	3	3	34	12	1	1	1	500000	500000		500000	"1201"	1	24	5	30	5	3	3						6	3																				"PRA"	"A52"	1	0	96	1	1		3	3	3				3	3	1	3	6	1	3	1		3								"W"	2	3	"A52"		"A41"	"B01"	3	3	3	3	3	12	14	34	3															0.5555555820465088	"12012503"
"002"	"0022504"	"002"																																															"1201"																																		"PRA"	"A52"	3	0	96	3	3	1	3	3	3																																																				"12012504"
"002"	"0022505"	"002"																																															"1201"																																		"PRA"	"A52"	3	0	96	3	3	1	3	3	3																																																				"12012505"
"002"	"0022506"	"002"																																															"1201"																																		"PRA"	"A52"	3	0	96	3	3	1	1	3	3																																																				"12012506"
"002"	"0022507"	"002"	1	28	1	3	4	2	3					95	2010	2011	4	6	1	70	1	1	1	1	4	1		3	3		3			95	1	1	3	3	3	34	12	2	1	1	1400000	500000		500000	"1201"	1	24	5	30	5	3	3						6	3																				"PRA"	"A52"	1	0	96	1	1		3	3	3				3	3	3		6	1	1	1		3								"W"	2	4	"A52"		"A41"	"B01"	3	3	3	3	3	12	14	34	3															0.5555555820465088	"12012507"
"002"	"0022508"	"002"	1	25	3	3	4	2	3					95	2010	2012	1	3	1	1	1	1	1	1	3	3	1	3	3		3			95	1	1	1	1	1	34	12	4	1	1	1400000	1500000		150000	"1201"	1	12	4	18	4	1	3						6	3																				"PRA"	"A51"	1	0	96	1	1		1	3	3				1	3	3		6	1	1	1		3								"W"	2	4	"A51"		"A41"	"B01"	3	3	3	3	3	12	14	34	1	2	"H"								2			1	1	0.5555555820465088	"12012508"
"002"	"0022509"	"002"																																															"1201"																																		"PRA"	"A52"	3	0	96	3	3	3	3	3	3																																																				"12012509"
"002"	"0022511"	"002"																																															"1201"																																		"PRA"	"A52"	3	0	96	3	3	1	1	3	3																																																				"12012511"
"002"	"0022512"	"002"																																															"1201"																																		"PRA"	"A52"	3	0	96	3	3	1	1	3	3																																																				"12012512"
"002"	"0022513"	"002"																																															"1201"																																		"PRA"	"A53"	3	0	96	3	3	1	3	3	3																																																				"12012513"
"002"	"0022515"	"002"	1	26	1	3	4	2	3					95	2010	2011	3	0	4	36	1	1	1	1	4	1		3	3		3			1	1	1	3	3	3	34	12	5	1	1	1400000	100000		100000	"1201"	1	12	4	18	4	3	3						6	3																				"PRA"	"A52"	1	0	96	1	1		3	3	3				3	3	3		6	3	3	1		3								"W"	2	4	"A52"		"A41"	"B01"	3	3	3	3	3	12	14	34	3															0.5555555820465088	"12012515"
"003"	"0032052"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	3	3	3	3																																																				"12032052"
"003"	"0032070"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	3	3	3	3																																																				"12032070"
"003"	"0032075"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	1	1	3	3																																																				"12032075"
"003"	"0032101"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	6	3	3	3																																																				"12032101"
"003"	"0032108"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	1	3	3	3																																																				"12032108"
"003"	"0032251"	"003"																																															"1203"																																		"PRA"	"A41"	3	0	96	3	3	1	3	3	3																																																				"12032251"
"003"	"0032501"	"003"																																															"1203"																																		"PRA"	"A51"	3	0	96	3	3	1	3	3	3																																																				"12032501"
"003"	"0032504"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	1	3	3	3																																																				"12032504"
"003"	"0032505"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	3	3	3	3																																																				"12032505"
"003"	"0032507"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	3	3	3	3																																																				"12032507"
"003"	"0032508"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	3	3	3	3																																																				"12032508"
"003"	"0032510"	"003"	1	43	1	3	6	8	3					95	2008	2011	4	0	1	28	1	1	1	1	2	1		3	1	3	3			3	1	1	8	3	3	998	12	4	1	1	4000000	7000000		7000000	"1203"	1	7	6	13	6	3	3						6	3																				"PRA"	"A52"	1	0	96	1	1		1	3	3				3	3	3		6	1	1	1		3								"W"	2	4	"A52"		"A41"	"B01"	3	3	3	3	3	12	77	50	1	2	"GJ"							1			1	1	1	0.2631579041481018	"12032510"
"003"	"0032511"	"003"																																															"1203"																																		"PRA"	"A41"	3	0	96	3	3	1	3	3	3																																																				"12032511"
"003"	"0032512"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	6	3	3	3																																																				"12032512"
"003"	"0032513"	"003"	1	41	3	3	4	1	3					95	2011	2013	2	7	1	126	1	1	1	1	2	1		3	3		3			1	1	1	3	3	3	10	12	4	1	1	2800000	3000000		3000000	"1203"	1	22	3	28	3	3	3						6	3																				"PRA"	"A52"	1	0	96	1	1		1	3	3				3	3	3		1	1	1	1		3								"W"	2	3	"A52"		"A41"	"B01"	3	3	3	3	3	12	77	50	3															0.2631579041481018	"12032513"
"003"	"0032514"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	6	3	3	3																																																				"12032514"
"003"	"0032515"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	1	3	3	3																																																				"12032515"
"003"	"0032517"	"003"	1	35	1	3	4	2	3					95	2002	2008	6	0	1	15	1	1	1	1	2	1		3	3		3			1	1	1	1	1	3	10	12	4	1	1	2617000	400000		400000	"1203"	1	26	4	2	5	3	3						6	3																				"PRA"	"A52"	1	0	96	1	1		1	3	3				3	3	3		6	3	1	1		3								"W"	2	4	"A52"		"A41"	"B01"	3	3	3	3	3	12	77	50	3															0.2631579041481018	"12032517"
"003"	"0032519"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	1	3	3	3																																																				"12032519"
"003"	"0032521"	"003"	1	72	1	3	1	8	3					95	1964	1964	28	0	1	2	1	1	1	1	1	1		3	3		3			7	1	1	1	1	1	20	12	1	1	1	3000000	3000000		3000000	"1203"	1	26	4	2	5	3	3						4	3																				"PRA"	"A51"	1	0	96	1	1		3	3	3				3	3	1	3	6	1	1	1		3								"W"	1	4	"A51"		"A41"	"B01"	3	3	3	3	3	12	77	50	3															0.2631579041481018	"12032521"
"003"	"0032523"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	1	3	3	3																																																				"12032523"
"003"	"0032524"	"003"	1	69	1	3	1	5	3					95	1985	1968	35	2	1	42	1	1	1	1	4	1		1	1	3	3			7	1	1	1	1	1	50	12	1	1	1	2000000	2000000		2000000	"1203"	1	22	3	28	3	3	3						4	3																				"PRA"	"A53"	1	0	96	1	1		3	3	3				3	3	3		6	3	1	1		3								"W"	2	4	"A53"		"A41"	"B01"	3	3	3	3	3	12	77	50	3															0.2631579041481018	"12032524"
"003"	"0032525"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	1	3	3	3																																																				"12032525"
"003"	"0032526"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	3	3	3	3																																																				"12032526"
"003"	"0032527"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	1	3	3	3																																																				"12032527"
"003"	"0032529"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	6	3	3	3																																																				"12032529"
"003"	"0032532"	"003"																																															"1203"																																		"PRA"	"A52"	3	0	96	3	3	6	3	3	3																																																				"12032532"
"003"	"0032571"	"003"																																															"1203"																																		"PRA"	"A51"	3	0	96	3	3	1	3	3	3																																																				"12032571"
"004"	"0042013"	"004"	1	50	1	3	4	2	3					95	2014	1977	39	0	95	168	1	1	1	5	95	1		3	3		3			5	1	1	1	1	1	71	12	5	1	1	10000000	10000000		10000000	"1204"	1	19	4	25	4	1	1	"A"	1	2015			4	3																				"PRA"	"A51"	1	0	96	1	1		3	3	3				3	3	1	3	1	1	1	1		1	3	3	1	3	1	1	1	"B"	2	4	"A51"		"A41"	"B01"	8	8	8	8	8	12	6	71	1	8	"AGH"	2						4	2			1	1	0.2777777910232544	"12042013"
"004"	"0042023"	"004"	1	35	1	1	5	2	3					95	2006	2000	15	0	4	48	1	1	1	5	6	1		3	3		3			7	1	1	1	1	1	73	12	5	1	1	7500000	7500000		7500000	"1204"	1	17	5	23	5	3	1	"A"	1	2015			1	3																				"PRA"	"A51"	1	0	96	1	1		3	3	3				3	3	1	3	1	1	1	1		3								"A"	1	2	"A51"		"A41"	"B01"	3	3	3	3	8	12	6	71	1	18	"AFGHI"	5					1	2	7	3		1	1	0.2777777910232544	"12042023"
"004"	"0042250"	"004"																																															"1204"																																		"PRA"	"A52"	3	0	96	3	3	1	3	3	3																																																				"12042250"
"004"	"0042501"	"004"																																															"1204"																																		"PRA"	"A52"	3	0	96	3	3	3	3	3	3																																																				"12042501"
"004"	"0042512"	"004"	1	26	3	3	4	2	3					95	2010	2012	3	0	2	119	1	1	1	1	5	1		3	3		3			10	1	1	1	1	1	71	12	5	1	1	4000000	150000		150000	"1204"	1	19	4	25	4	1	1	"A"	98	2013			6	3																				"PRA"	"A53"	1	0	96	1	1		3	3	3				3	3	1	3	6	1	1	1		3								"B"	2	3	"A53"		"A41"	"B01"	3	3	3	3	3	12	6	71	3															0.2777777910232544	"12042512"
"004"	"0042516"	"004"	1	56	3	3	4	8	3					7	2013	1990	24	3	1	119	1	1	1	1	1	1		1	3	3	3			1	1	1	3	3	3	73	12	4	1	1	4350000	6000000		6000000	"1204"	1	17	5	23	5	3	3						5	3																				"PRA"	"A52"	1	0	96	1	1		3	3	3				3	3	3		6	1	1	1		3								"W"	1	3	"A52"		"A41"	"B01"	3	3	3	3	3	12	6	71	1	2	"G"							2				1	1	0.2777777910232544	"12042516"
"004"	"0042522"	"004"																																															"1204"																																		"PRA"	"A52"	3	0	96	3	3	1	3	3	3																																																				"12042522"
"004"	"0042523"	"004"	1	27	3	3	4	2	3					95	2008	2012	3	1	3	30	1	1	1	1	2	1		3	1	3	3			10	1	1	1	1	1	71	12	4	1	1	3000000	3300000		200000	"1204"	1	17	5	23	5	1	1	"A"	4	2014			6	3																				"PRA"	"A51"	1	0	96	1	1		3	3	3				3	3	3		6	1	3	1		3								"B"	2	3	"A51"		"A41"	"B01"	3	3	3	3	3	12	6	71	3															0.2777777910232544	"12042523"
"004"	"0042525"	"004"																																															"1204"																																		"PRA"	"A52"	3	0	96	3	3	1	3	3	3																																																				"12042525"
"004"	"0042528"	"004"																																															"1204"																																		"PRA"	"A53"	3	0	96	3	3	1	3	3	3																																																				"12042528"
"005"	"0052021"	"005"	1	54	1	1	5	5	6					95	1990	1991	21	10	4	64	1	1	1	1	1	1		1	3	1	3			1	1	1	1	1	3	40	12	4	1	1	3500000	10000000		10000000	"1205"	1	15	3	21	3	1	3						2	3																				"PRA"	"A52"	1	0	96	1	1		3	3	3				3	3	1	3	1	1	1	1		3								"B"	1	1	"A52"		"A41"	"B01"	8	8	8	8	8	12	7	50	1	2	"A"	2										1	1	0.2380952388048172	"12052021"
"005"	"0052056"	"005"	1	28	1	1	5	1	6					2	2010	2010	5	0	1	40	1	1	1	1	1	1		3	3		3			7	1	1	1	1	1	50	12	1	1	1	10000000	10000000		10000000	"1205"	1	26	4	2	5	3	3						6	3																				"PRA"	"A51"	1	0	96	1	1		3	3	3				3	3	1	3	1	1	1	1		3								"B"	1	1	"A51"		"A41"	"B01"	3	3	3	3	3	12	7	50	1	5	"AH"	1							4			1	1	0.2380952388048172	"12052056"
"005"	"0052107"	"005"	1	69	1	3	1	6	3					95	1970	1970	33	98	1	168	1	1	1	1	2	1		3	1	3	3			7	1	1	1	1	1	50	12	1	1	1	1500000	1500000		1500000	"1205"	1	15	3	21	3	3	3						5	3																				"PRA"	"A51"	1	0	96	1	1		3	3	3				3	3	3		3	1	1	1		3								"W"	1	4	"A51"		"A41"	"B01"	1	8	8	8	8	12	7	50	3															0.2380952388048172	"12052107"
"005"	"0052256"	"005"	1	60	1	3	1	8	3					95	1978	2009	5	9	1	168	1	1	1	1	2	1		3	3		3			1	1	1	3	3	3	50	12	3	1	1	3800000	60000000		60000000	"1205"	1	15	3	21	3	3	3						6	3																				"PRA"	"A52"	1	0	96	1	1		3	3	3				3	3	1	3	1	1	3	1		3								"W"	1	4	"A52"		"A41"	"B01"	3	3	3	3	3	12	7	50	3															0.2380952388048172	"12052256"
"005"	"0052506"	"005"																																															"1205"																																		"PRA"	"A41"	3	0	96	3	3	1	3	3	3																																																				"12052506"
"005"	"0052508"	"005"																																															"1205"																																		"PRA"	"A41"	3	0	96	3	3	1	3	3	3																																																				"12052508"
"005"	"0052516"	"005"	1	42	3	3	4	3	3					95	2013	2014	0	10	1	72	1	1	1	1	1	1		1	3	3	3			1	1	1	3	3	3	50	12	4	1	1	3500000	2000000		2000000	"1205"	1	26	4	2	5	1	3						6	3																				"PRA"	"A52"	1	0	96	1	1		3	3	3				3	3	1	3	3	1	1	1		3								"B"	1	3	"A52"		"A41"	"B01"	3	3	3	3	3	12	7	50	3															0.2380952388048172	"12052516"
"005"	"0052517"	"005"																																															"1205"																																		"PRA"	"A53"	3	0	96	3	3	3	3	3	3																																																				"12052517"
"005"	"0052519"	"005"																																															"1205"																																		"PRA"	"A52"	3	0	96	3	3	1	3	3	3																																																				"12052519"
"006"	"0062050"	"006"																																															"1206"																																		"PRA"	"B52"	3	0	96	3	3	1	3	3	3																																																				"12062050"
"006"	"0062102"	"006"																																															"1206"																																		"PRA"	"B52"	3	0	96	3	3	3	3	3	3																																																				"12062102"
"006"	"0062103"	"006"																																															"1206"																																		"PRA"	"B53"	3	0	96	3	3	3	3	3	3																																																				"12062103"
"006"	"0062250"	"006"	1	40	1	3	1	2	3					95	1995	1996	12	0	1	168	1	1	1	1	2	3	3	1	3	3	3			7	1	1	3	3	3	91	12	2	1	1	1000000	1000000		1000000	"1206"	1	12	4	18	4	1	3						2	3																				"PRA"	"B51"	1	0	96	1	1		3	3	3				3	3	1	3	6	1	1	1		3								"W"	1	4	"B51"		"B41"	"A01"	3	3	3	3	1	12	9	91	1	2	"GH"							1	1			1	1	0.3125	"12062250"
"006"	"0062252"	"006"																																															"1206"																																		"PRA"	"B53"	3	0	96	3	3	3	3	3	3																																																				"12062252"
"006"	"0062502"	"006"																																															"1206"																																		"PRA"	"B52"	3	0	96	3	3	3	3	3	3																																																				"12062502"
"006"	"0062503"	"006"	1	34	3	3	4	1	3					95	2007	1960	17	4	95	56	1	1	1	1	2	1		1	3	3	3			7	1	1	1	1	1	10	12	5	1	1	2500000	15000000		2500000	"1206"	1	14	6	20	6	1	3						3	3																				"PRA"	"A53"	1	0	96	1	1		3	3	3				3	3	1	3	1	1	1	1		3								"A"	1	3	"A53"		"B41"	"B01"	3	3	3	3	3	12	9	91	1	7	"AGH"	2						3	2			1	1	0.3125	"12062503"
"006"	"0062504"	"006"	1	29	3	3	4	2	3					95	2007	2008	3	0	95	105	1	1	1	1	2	1		3	3		3			1	1	1	1	1	1	91	12	4	1	1	200000	1700000		1500000	"1206"	1	26	4	2	5	1	3						6	1	5	4	30	3	1	2	0	45	11	4	10	4	50	80	100	95	1	1	1	"PRA"	"B51"	1	0	96	1	1		3	3	3				3	3	3		3	1	1	1		3								"B"	1	5	"B51"		"B41"	"A01"	3	3	3	3	3	12	9	91	3															0.3125	"12062504"
"006"	"0062505"	"006"	1	51	3	3	1	1	3					95	1986	1968	47	98	95	49	1	1	1	1	4	1		3	3		3			7	1	1	3	3	3	91	12	5	1	1	2400000	0		2400000	"1206"	1	12	4	18	4	3	1	"A"	1	2014			4	3																				"PRA"	"B52"	1	0	96	1	1		3	3	3				3	3	3		6	3	3	1		1	3	3	3		6	3	1	"W"	1	2	"B52"		"B41"	"B01"	8	8	8	8	3	12	9	91	1	4	"GH"							1	3			1	1	0.3125	"12062505"
"006"	"0062506"	"006"																																															"1206"																																		"PRA"	"B53"	3	0	96	3	3	3	3	3	3																																																				"12062506"
"006"	"0062507"	"006"																																															"1206"																																		"PRA"	"B51"	3	0	96	3	3	3	3	3	3																																																				"12062507"
"006"	"0062509"	"006"																																															"1206"																																		"PRA"	"A53"	3	0	96	3	3	1	3	3	3																																																				"12062509"
"006"	"0062510"	"006"	1	38	1	3	4	2	3					95	2000	2003	12	0	95	60	1	1	1	1	2	1		3	3		3			95	1	1	1	1	1	90	12	2	1	1	17666600	19666600		2000000	"1206"	1	12	4	18	4	1	3						5	3																				"PRA"	"B53"	1	0	96	1	1		3	3	3				3	3	1	3	1	3	3	1		3								"W"	2	4	"B53"		"B41"	"B01"	3	3	3	3	3	12	9	91	3															0.3125	"12062510"
"007"	"0072070"	"007"	1	25	3	3	4	2	3					95	2011	2012	3	2	1	168	1	1	1	1	1	1		3	3		3			1	1	1	1	1	1	100	12	4	1	1	1500000	3000000		1500000	"1207"	1	10	5	16	5	1	3						6	3																				"PRA"	"B53"	1	0	96	3	1		3	3	3				3	3	1	3	3	3	3	1		3								"W"	2	3	"B53"		"B41"	"B01"	3	3	3	3	3	12	9	100	1	2	"G"							2				1	1	0.3571428656578064	"12072070"
"007"	"0072101"	"007"																																															"1207"																																		"PRA"	"B51"	3	0	96	3	3	3	3	3	3																																																				"12072101"
"007"	"0072102"	"007"	1	53	1	1	5	8	3					95	1990	2014	1	0	1	12	1	1	1	1	2	1		1	1	3	3			7	1	1	3	3	3	10	12	5	1	1	20000000	50000000		30000000	"1207"	1	31	5	6	6	1	1	"A"	8	2014			6	3																				"PRA"	"B51"	1	0	96	1	1		3	3	3				3	3	1	3	1	1	1	1		3								"B"	1	2	"B51"		"B41"	"A01"	3	3	3	3	3	12	9	100	1	10	"AGH"	3						5	2			1	1	0.3571428656578064	"12072102"
"007"	"0072252"	"007"	1	41	3	3	4	4	3					7	2014	1994	21	2	1	13	1	1	1	1	1	1		1	3	3	3			1	1	1	3	3	3	100	12	4	1	1	3500000	8500000		5000000	"1207"	1	14	6	20	6	1	3						4	3																				"PRA"	"B52"	1	0	96	3	1		3	3	3				3	3	1	3	6	3	1	1		3								"B"	2	3	"B52"		"B41"	"B01"	3	3	3	3	1	12	9	100	1	2	"G"							2				1	2	0.3571428656578064	"12072252"
"006"	"0072501"	"006"																																															"1206"																																		"PRA"	"S54"	3	0	96	3	3	3	3	3	3																																																				"12072501"
"007"	"0072501"	"007"																																															"1207"																																		"PRA"	"B53"	3	0	96	3	3	3	3	3	3																																																				"12072501"
"007"	"0072503"	"007"	1	35	3	3	4	8	3					95	2005	2004	7	0	95	24	3	1	1	1	4	1		3	3		3			95	1	1	3	3	3	100	12	4	1	1	1450000	2950000		1500000	"1207"	1	3	5	9	5	1	3						6	1	998	15	14	8	8	8	0	168	7	6	7	0	50	50	100	95	1	3	1	"PRA"	"B51"	1	0	96	1	1		3	3	3				3	3	3		1	1	1	1		3								"B"	2	5	"B51"		"B41"	"A01"	3	3	3	3	3	12	9	100	3															0.3571428656578064	"12072503"
"007"	"0072507"	"007"																																															"1207"																																		"PRA"	"B52"	3	0	96	3	3	3	3	3	3																																																				"12072507"
"007"	"0072510"	"007"																																															"1207"																																		"PRA"	"B53"	3	0	96	3	3	3	3	3	3																																																				"12072510"
"007"	"0072511"	"007"	1	29	3	3	4	2	3					95	2007	2009	6	0	1	24	1	1	1	1	1	1		3	3		3			7	1	1	3	3	3	100	12	2	1	1	2000000	2000000		2000000	"1207"	1	24	5	30	5	1	3						6	3																				"PRA"	"B51"	1	0	96	3	1		3	3	3				3	3	1	3	3	1	1	1		3								"B"	2	3	"B51"		"B41"	"A01"	3	3	3	3	3	12	9	100	1	2	"G"							2				1	1	0.3571428656578064	"12072511"
"007"	"0072512"	"007"																																															"1207"																																		"PRA"	"B52"	3	0	96	3	3	1	3	3	3																																																				"12072512"
"008"	"0082101"	"008"	1	50	1	3	1	2	3					95	1986	1992	24	0	1	48	1	1	1	1	2	1		3	3		3			7	1	1	3	3	3	161	12	1	1	1	10000000	10000000		10000000	"1208"	1	12	4	18	4	1	3						3	3																				"PRA"	"B51"	1	0	96	1	1		3	3	3				3	3	1	3	3	1	1	1		3								"W"	2	4	"B51"		"B41"	"A01"	3	3	3	3	3	12	9	162	1	2	"H"								2			3	1	0.3333333432674408	"12082101"
"008"	"0082252"	"008"																																															"1208"																																		"PRA"	"B53"	3	0	96	3	3	3	3	3	3																																																				"12082252"
"008"	"0082503"	"008"	1	32	3	3	4	5	3					95	2005	2005	6	0	1	126	1	1	1	1	2	1		3	3		3			1	1	1	1	1	1	162	12	6	1	1	3000000	7000000		4000000	"1208"	1	3	5	9	5	1	3						6	3																				"PRA"	"B51"	1	0	96	1	1		3	3	3				3	3	1	3	1	1	1	1		3								"B"	2	3	"B51"		"B41"	"A01"	3	3	3	3	3	12	9	162	3															0.3333333432674408	"12082503"
"008"	"0082509"	"008"																																															"1208"																																		"PRA"	"B52"	3	0	96	3	3	1	3	3	3																																																				"12082509"
"008"	"0082518"	"008"																																															"1208"																																		"PRA"	"B53"	3	0	96	3	3	3	3	3	3																																																				"12082518"
"008"	"0082521"	"008"	1	47	3	3	4	2	3					95	2014	1997	17	6	1	70	1	1	1	1	2	1		3	3		3			1	1	1	3	3	3	140	12	4	1	1	4300000	7300000		3000000	"1208"	1	14	6	20	6	1	3						5	3																				"PRA"	"B52"	1	0	96	1	1		3	3	3				3	3	1	3	6	3	1	1		3								"W"	2	3	"B52"		"B41"	"B01"	3	3	3	3	3	12	9	162	3															0.3333333432674408	"12082521"
"008"	"0082526"	"008"	1	36	3	3	4	8	3					95	2002	2004	11	0	1	112	1	1	1	1	2	1		3	1	3	1	1	3	1	1	1	1	1	1	150	12	4	1	1	3400000	5000000		3000000	"1208"	1	3	5	9	5	1	3						2	3																				"PRA"	"B53"	1	0	96	1	1		3	3	3				3	3	1	3	6	3	3	1		3								"W"	2	3	"B53"		"B41"	"B01"	3	3	3	3	3	12	9	162	3															0.3333333432674408	"12082526"
"008"	"0082529"	"008"	1	51	3	3	2	8	3					95	1991	1992	23	2	1	35	1	1	1	1	2	1		1	3	3	3			1	1	1	3	3	3	150	12	4	1	1	4000000	9000000		5000000	"1208"	1	12	4	18	4	3	3						4	3																				"PRA"	"B52"	1	0	96	1	1		3	3	3				3	3	1	3	1	1	1	1		3								"W"	1	3	"B52"		"B41"	"B01"	3	3	3	3	3	12	9	162	3															0.3333333432674408	"12082529"
"008"	"0082530"	"008"																																															"1208"																																		"PRA"	"B53"	3	0	96	3	3	3	3	3	3																																																				"12082530"
"009"	"0092103"	"009"	1	46	3	3	4	2	3					95	2005	1991	24	0	2	35	1	1	1	1	2	1		3	3		3			1	1	1	1	1	1	30	12	4	1	1	3000000	9000000		6000000	"1209"	1	19	4	25	4	1	3						2	3																				"PRA"	"B53"	1	0	96	1	1		3	3	1				3	3	1	3	1	3	3	1		3								"B"	2	3	"B53"		"B41"	"B01"	3	3	3	8	1	12	10	30	3															0.2380952388048172	"12092103"
"010"	"0092250"	"010"																																															"1210"																																		"PRA"	"B53"	3	0	96	3	3	1	3	3	3																																																				"12092250"
"010"	"0092252"	"010"																																															"1210"																																		"PRA"	"B53"	3	0	96	3	3	3	3	3	3																																																				"12092252"
"009"	"0092255"	"009"																																															"1209"																																		"PRA"	"B51"	3	0	96	3	3	3	3	3	3																																																				"12092255"
